win,lose,probability
Orlando Magic,Minnesota Timberwolves,0.6635091581308034
Detroit Pistons,Phoenix Suns,0.7569015701367163
San Antonio Spurs,Houston Rockets,0.8416591194227232
Boston Celtics,Washington Wizards,0.6149964038291122
Golden State Warriors,Denver Nuggets,0.8950390104538584
Miami Heat,Chicago Bulls,0.5315343612444126
Milwaukee Bucks,New Orleans Pelicans,0.5840161909884845
Sacramento Kings,Los Angeles Lakers,0.8421590925455203
Boston Celtics,New York Knicks,0.7731841472366385
Toronto Raptors,Charlotte Hornets,0.5968991067794625
Oklahoma City Thunder,Los Angeles Clippers,0.5821940391910637
Utah Jazz,Orlando Magic,0.581720223033857
Indiana Pacers,Philadelphia 76ers,0.8958091387532172
Portland Trail Blazers,Sacramento Kings,0.7474812410195518
San Antonio Spurs,Detroit Pistons,0.8113866751053068
Cleveland Cavaliers,Washington Wizards,0.7553567961078378
Atlanta Hawks,Philadelphia 76ers,0.9656822780106388
Washington Wizards,Chicago Bulls,0.5159785409424086
Detroit Pistons,Denver Nuggets,0.5938582321336452
San Antonio Spurs,Houston Rockets,0.823794417404298
Boston Celtics,Indiana Pacers,0.550816092649461
Miami Heat,Utah Jazz,0.57494028628727
Memphis Grizzlies,Milwaukee Bucks,0.5738067788215547
Los Angeles Clippers,Minnesota Timberwolves,0.7935896692153099
New Orleans Pelicans,Los Angeles Lakers,0.8124197490557202
Phoenix Suns,Brooklyn Nets,0.6545978310316117
Toronto Raptors,New York Knicks,0.8181897837683707
Cleveland Cavaliers,Charlotte Hornets,0.6646794475761786
Golden State Warriors,Phoenix Suns,0.965259994735786
Minnesota Timberwolves,Los Angeles Lakers,0.8127770267715946
Oklahoma City Thunder,Orlando Magic,0.8267562970728305
Portland Trail Blazers,Denver Nuggets,0.7768013091325844
Oklahoma City Thunder,Detroit Pistons,0.6896727695639179
Houston Rockets,Philadelphia 76ers,0.946857761590061
Indiana Pacers,Orlando Magic,0.6876669230120201
Los Angeles Clippers,Brooklyn Nets,0.9210138922307588
Boston Celtics,New Orleans Pelicans,0.7523575339772861
Dallas Mavericks,New York Knicks,0.6422060268062448
San Antonio Spurs,Miami Heat,0.7279595470254413
Utah Jazz,Memphis Grizzlies,0.5842166347336007
Cleveland Cavaliers,Toronto Raptors,0.5309136378576211
Los Angeles Lakers,Brooklyn Nets,0.5009707225547224
Atlanta Hawks,Miami Heat,0.5327435665783442
Charlotte Hornets,Minnesota Timberwolves,0.7259661629211986
Portland Trail Blazers,Chicago Bulls,0.5684369013774045
Atlanta Hawks,Milwaukee Bucks,0.8101313629401731
Boston Celtics,Dallas Mavericks,0.6516753511567163
Denver Nuggets,Phoenix Suns,0.765475788153783
Cleveland Cavaliers,Indiana Pacers,0.7032858523674917
Los Angeles Clippers,Memphis Grizzlies,0.7360860086775387
Detroit Pistons,New York Knicks,0.6713599915859216
Oklahoma City Thunder,Houston Rockets,0.7753379301448283
Orlando Magic,New Orleans Pelicans,0.6474172125153388
Washington Wizards,Philadelphia 76ers,0.8682439562491528
San Antonio Spurs,Sacramento Kings,0.8872411815418453
Golden State Warriors,Toronto Raptors,0.7288048198978044
Portland Trail Blazers,Houston Rockets,0.5035638080424039
Miami Heat,Milwaukee Bucks,0.7643560078637919
Minnesota Timberwolves,Philadelphia 76ers,0.8959819633321268
Chicago Bulls,Utah Jazz,0.5340686858164618
Washington Wizards,New York Knicks,0.6722785857092197
Golden State Warriors,Boston Celtics,0.7801120290629785
Charlotte Hornets,Atlanta Hawks,0.5252957705298547
Cleveland Cavaliers,Detroit Pistons,0.7324532195715772
Dallas Mavericks,Memphis Grizzlies,0.5664749231124147
Toronto Raptors,Denver Nuggets,0.7795817899484293
Indiana Pacers,Phoenix Suns,0.8601363929607571
San Antonio Spurs,Los Angeles Lakers,0.9673564972265418
Portland Trail Blazers,New Orleans Pelicans,0.677743804693713
Oklahoma City Thunder,Brooklyn Nets,0.942794636229102
Los Angeles Clippers,Sacramento Kings,0.7577669595920753
Boston Celtics,Detroit Pistons,0.5676361720431844
Houston Rockets,Utah Jazz,0.5297629781666161
Los Angeles Clippers,Chicago Bulls,0.6339337182657996
Memphis Grizzlies,Minnesota Timberwolves,0.7039369188162271
Golden State Warriors,Milwaukee Bucks,0.9172335306563184
Charlotte Hornets,New Orleans Pelicans,0.7264326578738105
Dallas Mavericks,Orlando Magic,0.5607447351624415
Phoenix Suns,Philadelphia 76ers,0.612261747776015
Miami Heat,Washington Wizards,0.619069359786478
Portland Trail Blazers,Brooklyn Nets,0.8045337144871034
Utah Jazz,Denver Nuggets,0.5832675654975703
Chicago Bulls,Los Angeles Lakers,0.8702521730621271
Atlanta Hawks,New York Knicks,0.7509722484006391
Oklahoma City Thunder,Indiana Pacers,0.709988035516233
Toronto Raptors,Sacramento Kings,0.7905812315290772
Charlotte Hornets,Memphis Grizzlies,0.6974808197409885
Detroit Pistons,Houston Rockets,0.5979379849178013
Golden State Warriors,Indiana Pacers,0.8190306823256815
Toronto Raptors,Los Angeles Clippers,0.5503705140593032
Orlando Magic,Milwaukee Bucks,0.5265526513562465
Boston Celtics,Minnesota Timberwolves,0.7519201497049653
Miami Heat,Philadelphia 76ers,0.9237523546375849
San Antonio Spurs,Dallas Mavericks,0.8303960032786989
Washington Wizards,Phoenix Suns,0.8252064597227139
Atlanta Hawks,New Orleans Pelicans,0.8196138588558253
Chicago Bulls,Denver Nuggets,0.625259526267067
Oklahoma City Thunder,Los Angeles Lakers,0.9401999981881503
Portland Trail Blazers,New York Knicks,0.690841034921166
Boston Celtics,Brooklyn Nets,0.8560272419444293
San Antonio Spurs,Charlotte Hornets,0.755283798068882
Cleveland Cavaliers,Portland Trail Blazers,0.7145107020838325
Los Angeles Clippers,Dallas Mavericks,0.6840509735584721
Miami Heat,Detroit Pistons,0.571861356971263
Golden State Warriors,Los Angeles Lakers,0.9797897821248408
Toronto Raptors,Houston Rockets,0.6916482694091411
Atlanta Hawks,Indiana Pacers,0.533926701636713
New Orleans Pelicans,Minnesota Timberwolves,0.5984081151697394
Orlando Magic,Phoenix Suns,0.7666160835242746
Memphis Grizzlies,Philadelphia 76ers,0.8422555960759065
Oklahoma City Thunder,Sacramento Kings,0.8067503423027457
Utah Jazz,Denver Nuggets,0.6974447566444378
San Antonio Spurs,Boston Celtics,0.7541194413303085
Cleveland Cavaliers,Dallas Mavericks,0.7570356727701669
Oklahoma City Thunder,Denver Nuggets,0.796381429840989
Los Angeles Clippers,Detroit Pistons,0.6248144996251018
Indiana Pacers,Brooklyn Nets,0.8837698665699941
Golden State Warriors,Los Angeles Lakers,0.9716546022060597
Miami Heat,Memphis Grizzlies,0.6595259260168043
Toronto Raptors,Milwaukee Bucks,0.8213163522243634
Charlotte Hornets,New York Knicks,0.7383151098524712
Washington Wizards,Orlando Magic,0.5595633107556529
Chicago Bulls,Philadelphia 76ers,0.8958276427535368
Minnesota Timberwolves,Phoenix Suns,0.5207928263323456
Portland Trail Blazers,New Orleans Pelicans,0.8003930247854343
Houston Rockets,Sacramento Kings,0.5581261856216977
Atlanta Hawks,Utah Jazz,0.5972340116015441
Charlotte Hornets,New York Knicks,0.7720792586406701
Golden State Warriors,Minnesota Timberwolves,0.9434370772095658
Miami Heat,Memphis Grizzlies,0.6463192284172279
Oklahoma City Thunder,Detroit Pistons,0.7363576359541475
San Antonio Spurs,Washington Wizards,0.835974299304848
Sacramento Kings,Brooklyn Nets,0.6564268027589472
Dallas Mavericks,New Orleans Pelicans,0.7118047495140924
Los Angeles Clippers,Indiana Pacers,0.6086853683606415
Atlanta Hawks,Los Angeles Lakers,0.8966604719470397
Orlando Magic,Milwaukee Bucks,0.6329366510177616
Cleveland Cavaliers,Philadelphia 76ers,0.9583633763702197
Denver Nuggets,Phoenix Suns,0.5734927402854555
Portland Trail Blazers,Houston Rockets,0.6500025747539877
Golden State Warriors,Atlanta Hawks,0.7977299852182274
Charlotte Hornets,Memphis Grizzlies,0.6246466761075223
Boston Celtics,Miami Heat,0.5496396679227533
Utah Jazz,Minnesota Timberwolves,0.6473995329493765
Oklahoma City Thunder,New York Knicks,0.8453039393985265
Toronto Raptors,Philadelphia 76ers,0.9728669216525352
Washington Wizards,Sacramento Kings,0.6608094195939477
Los Angeles Clippers,Brooklyn Nets,0.8829326061732403
Charlotte Hornets,Detroit Pistons,0.6202787059792118
Cleveland Cavaliers,Milwaukee Bucks,0.8530266185195214
New Orleans Pelicans,Los Angeles Lakers,0.8124197490557202
San Antonio Spurs,Orlando Magic,0.8802430690453581
Utah Jazz,Houston Rockets,0.5515876972545283
Boston Celtics,Detroit Pistons,0.6217589683925708
Chicago Bulls,Los Angeles Lakers,0.8722944158491033
San Antonio Spurs,Dallas Mavericks,0.8448598105631552
Miami Heat,Denver Nuggets,0.7015499151738475
Minnesota Timberwolves,New York Knicks,0.5194884216474983
Oklahoma City Thunder,Washington Wizards,0.7615703443263507
Atlanta Hawks,Phoenix Suns,0.8213071301686075
Portland Trail Blazers,Indiana Pacers,0.5684855393276903
Toronto Raptors,Memphis Grizzlies,0.7538722120077669
Milwaukee Bucks,Brooklyn Nets,0.6003087383307925
Charlotte Hornets,Dallas Mavericks,0.6502463081359635
Cleveland Cavaliers,Los Angeles Clippers,0.5773170693843263
Golden State Warriors,Houston Rockets,0.8779552319221394
Memphis Grizzlies,Orlando Magic,0.5864373844151525
Miami Heat,Utah Jazz,0.6175689840683491
Atlanta Hawks,Detroit Pistons,0.6300548890645067
Boston Celtics,Sacramento Kings,0.7640067109916447
Cleveland Cavaliers,Chicago Bulls,0.7882922516590435
Houston Rockets,Denver Nuggets,0.5419906491316964
Los Angeles Clippers,New Orleans Pelicans,0.7939737167245527
New York Knicks,Minnesota Timberwolves,0.5837544194157522
Orlando Magic,Philadelphia 76ers,0.8151787414326099
San Antonio Spurs,Washington Wizards,0.8310702689866204
Toronto Raptors,Los Angeles Lakers,0.9475636610763338
Charlotte Hornets,Minnesota Timberwolves,0.8239408684657137
Chicago Bulls,Dallas Mavericks,0.552087970938046
Golden State Warriors,Phoenix Suns,0.965259994735786
Memphis Grizzlies,Los Angeles Lakers,0.8735910371650552
Milwaukee Bucks,Brooklyn Nets,0.756406765570907
Boston Celtics,Philadelphia 76ers,0.9225294350542832
Miami Heat,Portland Trail Blazers,0.5168135779163088
Toronto Raptors,Atlanta Hawks,0.5951534624601963
Utah Jazz,Denver Nuggets,0.6974447566444378
Detroit Pistons,Orlando Magic,0.6728249333476092
Los Angeles Clippers,Indiana Pacers,0.6339797276731184
Sacramento Kings,New York Knicks,0.5091465297452819
Oklahoma City Thunder,New Orleans Pelicans,0.8816765891542913
Oklahoma City Thunder,Atlanta Hawks,0.6109813444273702
Washington Wizards,Brooklyn Nets,0.7669158516203899
Portland Trail Blazers,Chicago Bulls,0.5714656189786909
Charlotte Hornets,Dallas Mavericks,0.5986883584370066
Golden State Warriors,Indiana Pacers,0.836146623507829
Boston Celtics,Houston Rockets,0.5943695188670399
Utah Jazz,Los Angeles Lakers,0.8490870862361019
San Antonio Spurs,Milwaukee Bucks,0.905486066971645
Memphis Grizzlies,New Orleans Pelicans,0.5766684692852488
Denver Nuggets,Philadelphia 76ers,0.7649577953814708
Cleveland Cavaliers,Toronto Raptors,0.5846197690443489
Detroit Pistons,Chicago Bulls,0.5133235351754459
Memphis Grizzlies,Philadelphia 76ers,0.9320294184136796
Miami Heat,New York Knicks,0.7286250354171171
San Antonio Spurs,Minnesota Timberwolves,0.9062845665386182
Utah Jazz,Phoenix Suns,0.8261215774206958
Washington Wizards,Orlando Magic,0.6282786503140039
Atlanta Hawks,Miami Heat,0.514421320489327
Denver Nuggets,Brooklyn Nets,0.6190487103424702
Charlotte Hornets,Detroit Pistons,0.6202787059792118
Dallas Mavericks,Sacramento Kings,0.645801921595863
Houston Rockets,Los Angeles Lakers,0.8997975709991737
Golden State Warriors,Los Angeles Clippers,0.7469130120658551
Portland Trail Blazers,Milwaukee Bucks,0.6751805158865449
Cleveland Cavaliers,New York Knicks,0.8618668742539229
Boston Celtics,Orlando Magic,0.696585465527786
Indiana Pacers,Phoenix Suns,0.7803253350466428
San Antonio Spurs,Chicago Bulls,0.8600671119863119
Portland Trail Blazers,Memphis Grizzlies,0.5686003526763022
New Orleans Pelicans,Philadelphia 76ers,0.8957631024522343
Toronto Raptors,Minnesota Timberwolves,0.8614422159732584
Golden State Warriors,Utah Jazz,0.8541878131532804
Washington Wizards,Denver Nuggets,0.696101540439865
Toronto Raptors,Boston Celtics,0.5953848666467777
Charlotte Hornets,Orlando Magic,0.7362211755012043
Cleveland Cavaliers,Miami Heat,0.6300319855610494
Indiana Pacers,Dallas Mavericks,0.5520389411419502
Phoenix Suns,Los Angeles Lakers,0.551892075692567
Atlanta Hawks,Milwaukee Bucks,0.7371989841012956
Detroit Pistons,Minnesota Timberwolves,0.6573179319930187
Oklahoma City Thunder,Houston Rockets,0.7753379301448283
Sacramento Kings,New York Knicks,0.5705800166585046
Miami Heat,Chicago Bulls,0.6621461172151968
Cleveland Cavaliers,Charlotte Hornets,0.6646794475761786
Houston Rockets,Dallas Mavericks,0.5510333782177967
Indiana Pacers,Portland Trail Blazers,0.5408672663272466
Los Angeles Clippers,New Orleans Pelicans,0.8405607133023528
Golden State Warriors,Memphis Grizzlies,0.8754217240413811
Orlando Magic,Denver Nuggets,0.6144543735004017
San Antonio Spurs,Brooklyn Nets,0.9620984256730613
Utah Jazz,Sacramento Kings,0.662232934991463
Washington Wizards,Milwaukee Bucks,0.7125011508126531
Detroit Pistons,Philadelphia 76ers,0.9521213216686739
New York Knicks,Los Angeles Lakers,0.7392044150467116
Golden State Warriors,Minnesota Timberwolves,0.91794177616563
Oklahoma City Thunder,Boston Celtics,0.6386726414909798
New Orleans Pelicans,Phoenix Suns,0.5385447590076851
Dallas Mavericks,Denver Nuggets,0.6819038782945581
Houston Rockets,Brooklyn Nets,0.8641898515382977
Charlotte Hornets,Indiana Pacers,0.517328291841205
Los Angeles Clippers,Portland Trail Blazers,0.6436893161075395
Miami Heat,Washington Wizards,0.5968809232260821
Sacramento Kings,Los Angeles Lakers,0.8421590925455203
Toronto Raptors,Milwaukee Bucks,0.84464251968542
Atlanta Hawks,Orlando Magic,0.7442431403977334
Chicago Bulls,Minnesota Timberwolves,0.7014947208887093
Cleveland Cavaliers,Memphis Grizzlies,0.7944080751732746
Golden State Warriors,New Orleans Pelicans,0.9181183263460253
New York Knicks,Phoenix Suns,0.6002264847586283
Oklahoma City Thunder,Portland Trail Blazers,0.6402432539045129
Brooklyn Nets,Los Angeles Lakers,0.6887662893442209
Detroit Pistons,Dallas Mavericks,0.5192694031947114
Houston Rockets,Sacramento Kings,0.6798774080660943
Cleveland Cavaliers,Memphis Grizzlies,0.7863346857961185
Miami Heat,Indiana Pacers,0.5315837309983219
Los Angeles Clippers,Orlando Magic,0.7443898604672985
Toronto Raptors,Philadelphia 76ers,0.9479944915141262
San Antonio Spurs,Boston Celtics,0.731359477224691
Oklahoma City Thunder,Utah Jazz,0.7287683970152241
Charlotte Hornets,Washington Wizards,0.5826681480887366
Portland Trail Blazers,Denver Nuggets,0.6153009020375926
Golden State Warriors,New York Knicks,0.9235075118302853
Chicago Bulls,Milwaukee Bucks,0.6843841613894044
Indiana Pacers,New Orleans Pelicans,0.6868658575743148
San Antonio Spurs,Phoenix Suns,0.9401102927332403
Boston Celtics,Charlotte Hornets,0.5434237699081134
Chicago Bulls,Milwaukee Bucks,0.6726708575352571
Houston Rockets,New Orleans Pelicans,0.7420665619781227
Memphis Grizzlies,Sacramento Kings,0.6204175880739484
Los Angeles Clippers,Miami Heat,0.6075525199481887
Orlando Magic,Brooklyn Nets,0.8024222244435961
Philadelphia 76ers,Los Angeles Lakers,0.5249329958843233
Toronto Raptors,Atlanta Hawks,0.5951534624601963
Utah Jazz,Dallas Mavericks,0.5311842764348494
Detroit Pistons,Washington Wizards,0.5027122225586085
Atlanta Hawks,Charlotte Hornets,0.5522003955941831
Cleveland Cavaliers,Los Angeles Lakers,0.9579777894910481
Denver Nuggets,New York Knicks,0.5864768187590796
Detroit Pistons,Indiana Pacers,0.5133730670729165
Golden State Warriors,Portland Trail Blazers,0.8418312221265581
Houston Rockets,Minnesota Timberwolves,0.6082079229303563
Oklahoma City Thunder,Phoenix Suns,0.9302151855949466
Dallas Mavericks,Sacramento Kings,0.645801921595863
Utah Jazz,Memphis Grizzlies,0.5356132423284277
Boston Celtics,Miami Heat,0.5496396679227533
Toronto Raptors,Orlando Magic,0.778486539201987
Brooklyn Nets,Philadelphia 76ers,0.5608538491687955
San Antonio Spurs,New Orleans Pelicans,0.9198511960839124
Los Angeles Clippers,Washington Wizards,0.6695575785215815
Detroit Pistons,Chicago Bulls,0.5493690536117957
Dallas Mavericks,Denver Nuggets,0.5623112897336244
Indiana Pacers,Washington Wizards,0.5957365978768209
Minnesota Timberwolves,Phoenix Suns,0.7133095435693937
Oklahoma City Thunder,Atlanta Hawks,0.6542244450252055
Charlotte Hornets,Los Angeles Lakers,0.9315185121942434
Golden State Warriors,Utah Jazz,0.8588007793373151
San Antonio Spurs,Houston Rockets,0.823794417404298
Los Angeles Clippers,Denver Nuggets,0.8206526693018227
Boston Celtics,Memphis Grizzlies,0.6556449229941719
Miami Heat,Orlando Magic,0.6886870101332533
Cleveland Cavaliers,Milwaukee Bucks,0.8530266185195214
Indiana Pacers,New York Knicks,0.6997565865818098
New Orleans Pelicans,Philadelphia 76ers,0.738546038690344
Portland Trail Blazers,Sacramento Kings,0.6306139415113712
Toronto Raptors,Brooklyn Nets,0.9275635330220124
Atlanta Hawks,Minnesota Timberwolves,0.8299114453805654
Washington Wizards,Chicago Bulls,0.5159785409424086
Cleveland Cavaliers,Milwaukee Bucks,0.8727523565799178
Detroit Pistons,Memphis Grizzlies,0.6294599009293692
Oklahoma City Thunder,New Orleans Pelicans,0.8372084165909446
Houston Rockets,Phoenix Suns,0.715894589255696
Portland Trail Blazers,Dallas Mavericks,0.6310821449029738
Utah Jazz,Sacramento Kings,0.662232934991463
Golden State Warriors,Brooklyn Nets,0.9564160293178527
Boston Celtics,Indiana Pacers,0.550816092649461
San Antonio Spurs,Los Angeles Clippers,0.7184125666531685
Miami Heat,Los Angeles Lakers,0.9151203397926659
Orlando Magic,New York Knicks,0.5445451524801518
Oklahoma City Thunder,Boston Celtics,0.6193689387225354
Charlotte Hornets,Chicago Bulls,0.5887345687381335
Cleveland Cavaliers,Brooklyn Nets,0.9417054231192933
Atlanta Hawks,Denver Nuggets,0.6833911217384439
Golden State Warriors,Detroit Pistons,0.8289265709797091
Los Angeles Clippers,Dallas Mavericks,0.6922193296963209
Memphis Grizzlies,Houston Rockets,0.5062866445972353
Washington Wizards,Milwaukee Bucks,0.6242936683464795
Minnesota Timberwolves,Sacramento Kings,0.5065965236808654
Miami Heat,New Orleans Pelicans,0.7555549325994012
Orlando Magic,Los Angeles Lakers,0.8514406779837174
Phoenix Suns,Philadelphia 76ers,0.84143629729561
San Antonio Spurs,Portland Trail Blazers,0.770343961950455
Toronto Raptors,Utah Jazz,0.7084326667544614
Golden State Warriors,Cleveland Cavaliers,0.6805357896361509
Los Angeles Clippers,Los Angeles Lakers,0.9217619748419977
Boston Celtics,New York Knicks,0.7634805654710426
Oklahoma City Thunder,Minnesota Timberwolves,0.8889114420374942
San Antonio Spurs,Chicago Bulls,0.7903524112297314
Charlotte Hornets,Brooklyn Nets,0.8386273890860549
Indiana Pacers,Chicago Bulls,0.5817394776794746
Cleveland Cavaliers,Detroit Pistons,0.7173265586748733
Houston Rockets,Phoenix Suns,0.8373080129022499
Los Angeles Clippers,Denver Nuggets,0.8206526693018227
Atlanta Hawks,Minnesota Timberwolves,0.7390094539590475
Dallas Mavericks,New Orleans Pelicans,0.6281574099368598
Memphis Grizzlies,Orlando Magic,0.5072436920319897
Toronto Raptors,Portland Trail Blazers,0.6167606367478394
Sacramento Kings,Philadelphia 76ers,0.9136927510826298
Washington Wizards,Milwaukee Bucks,0.7125011508126531
Boston Celtics,Memphis Grizzlies,0.698806263807318
Dallas Mavericks,Houston Rockets,0.5335652897360604
Utah Jazz,Los Angeles Lakers,0.8490870862361019
Oklahoma City Thunder,Miami Heat,0.6738371320073735
Atlanta Hawks,New York Knicks,0.7793375675693277
Chicago Bulls,Brooklyn Nets,0.8287730747522697
Denver Nuggets,Minnesota Timberwolves,0.6620871457294393
Detroit Pistons,Milwaukee Bucks,0.7509551954977826
Golden State Warriors,Toronto Raptors,0.7064772621808313
Los Angeles Clippers,New Orleans Pelicans,0.7939737167245527
Charlotte Hornets,Orlando Magic,0.6674030796092929
Portland Trail Blazers,Sacramento Kings,0.7474812410195518
San Antonio Spurs,Phoenix Suns,0.9535547572457126
Indiana Pacers,Washington Wizards,0.5356010220788335
Charlotte Hornets,Miami Heat,0.5039950016642089
Cleveland Cavaliers,Boston Celtics,0.6340405310659768
Dallas Mavericks,Los Angeles Lakers,0.8377803676829962
Oklahoma City Thunder,Memphis Grizzlies,0.7632033426627032
Toronto Raptors,Phoenix Suns,0.8827837104201436
Utah Jazz,Philadelphia 76ers,0.9426882084697539
Atlanta Hawks,Detroit Pistons,0.6300548890645067
Boston Celtics,Miami Heat,0.5055672338165259
Denver Nuggets,Philadelphia 76ers,0.9186976643059953
Golden State Warriors,Dallas Mavericks,0.8688716932068432
Los Angeles Clippers,Houston Rockets,0.6501911654316699
Indiana Pacers,Chicago Bulls,0.5303504950833885
