Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,Philadelphia 76ers*,82,241.2,38.0,87.6,.434,10.1,29.6,.342,27.9,58.0,.482,19.1,25.6,.745,10.0,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3
12,Dallas Mavericks,82,241.5,39.3,83.8,.469,10.7,29.4,.363,28.6,54.4,.526,16.2,21.4,.757,8.8,36.9,45.8,23.5,7.2,4.5,13.7,19.6,105.4
13,Memphis Grizzlies,82,240.3,37.1,80.3,.462,10.7,29.0,.368,26.5,51.3,.516,20.6,26.8,.769,9.5,33.0,42.5,22.1,8.1,5.1,14.8,20.4,105.5
14,Sacramento Kings,82,240.9,38.7,82.4,.470,11.9,31.5,.377,26.8,50.9,.527,16.4,21.5,.765,9.1,34.7,43.8,23.6,7.8,4.7,14.3,17.3,105.8
15,Washington Wizards*,82,242.1,39.0,84.4,.462,10.2,29.2,.349,28.8,55.2,.522,17.9,23.5,.761,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20.0,106.0
16,Milwaukee Bucks*,82,241.8,39.1,83.7,.468,10.1,27.1,.372,29.0,56.6,.513,18.4,23.5,.783,10.0,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8
17,Minnesota Timberwolves*,82,241.5,40.2,84.7,.475,10.9,29.6,.366,29.4,55.0,.534,16.0,20.5,.779,9.8,32.0,41.8,23.9,6.5,4.7,15.1,20.9,107.3
18,Golden State Warriors*,82,240.6,40.2,90.0,.447,10.4,29.2,.357,29.8,60.8,.490,16.7,22.0,.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5
19,Charlotte Hornets,82,241.2,41.1,87.8,.468,11.3,30.1,.375,29.8,57.7,.516,14.5,18.2,.795,8.4,35.3,43.7,24.7,6.6,4.9,13.6,22.4,108.0
20,New York Knicks,82,241.8,39.4,86.3,.457,11.2,30.4,.368,28.2,55.9,.505,18.0,23.2,.774,10.2,33.0,43.2,24.0,8.2,4.7,13.4,18.4,108.0
21,Orlando Magic,82,240.6,40.9,87.5,.468,10.0,27.6,.362,30.9,60.0,.516,16.4,21.2,.773,10.6,35.3,45.9,24.4,7.8,4.9,14.2,19.0,108.2
22,Denver Nuggets,82,242.4,41.3,86.7,.476,10.9,28.8,.378,30.4,57.9,.525,15.0,20.4,.738,9.8,31.9,41.6,24.7,8.0,4.8,13.8,20.7,108.5
23,Atlanta Hawks,82,240.3,40.7,86.7,.469,11.6,30.7,.377,29.1,56.0,.520,15.9,20.6,.772,10.3,34.0,44.2,26.1,8.7,5.5,15.1,20.3,108.8
24,Los Angeles Clippers,82,240.3,40.2,87.7,.458,10.7,30.2,.356,29.5,57.5,.512,17.8,22.7,.782,10.6,33.0,43.6,24.6,8.5,5.6,14.1,22.0,109.0
25,Los Angeles Lakers,82,242.7,41.0,89.9,.456,10.4,30.1,.346,30.6,59.8,.512,17.1,22.5,.761,10.2,34.6,44.8,23.6,8.3,5.5,14.3,20.5,109.6
26,Cleveland Cavaliers*,82,240.6,41.8,88.3,.474,11.7,31.7,.368,30.2,56.6,.533,14.6,19.4,.756,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9
27,Chicago Bulls,82,242.1,41.0,86.8,.472,12.1,32.7,.370,28.9,54.1,.534,15.9,20.2,.787,8.4,37.2,45.7,25.9,7.2,5.2,13.6,17.4,110.0
28,Brooklyn Nets,82,242.1,41.7,89.4,.466,9.0,24.5,.369,32.6,64.9,.503,17.9,23.4,.766,10.4,36.4,46.8,21.7,7.7,5.5,12.4,19.7,110.3
29,New Orleans Pelicans*,82,243.4,41.7,91.9,.454,10.9,30.6,.355,30.9,61.3,.503,16.1,20.5,.784,10.8,34.7,45.5,23.7,8.2,4.2,14.5,20.4,110.4
30,Phoenix Suns,82,240.3,41.8,88.7,.471,10.9,29.2,.373,30.9,59.5,.519,18.8,24.6,.766,10.4,35.4,45.9,23.3,8.7,6.0,13.4,20.9,113.3
,League Average,82,241.4,39.6,86.1,.460,10.5,29.0,.362,29.1,57.1,.510,16.6,21.7,.767,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3
