序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
16,19,深深宝A,深圳市深宝实业股份有限公司,广东,深圳市,31576.27,-5409.41,688,1992-10-12,--,,软饮料,工业、贸易、房地产、租赁服务业,食品饮料行业
17,20,深华发A,深圳中恒华发股份有限公司,广东,深圳市,85804.01,97.44,993,1992-04-28,--,,电子零部件,显示器、注塑件、泡沫件,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
18,21,深科技,深圳长城开发科技股份有限公司,广东,深圳市,1420977.86,54130.3,24626,1994-02-02,--,,PC、服务器及硬件,硬盘相关产品、自有产品、OEM产品,计算机硬件、通讯设备等。
19,22,深赤湾A,深圳赤湾港航股份有限公司,广东,深圳市,245621.88,50449.51,1719,1993-05-05,--,,港口,装卸业务、港口配套业务、代理及其他业务、各业务分部间互相抵消,集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
20,23,深天地A,深圳市天地(集团)股份有限公司,广东,深圳市,122918.71,3050.08,1123,1993-04-29,--,,商品混凝土,房地产、建材,混凝土的生产和销售、房地产的开发与销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
21,25,特力A,深圳市特力(集团)股份有限公司,广东,深圳市,34723.73,6686.28,320,1993-06-21,--,,汽车销售,能源、材料和机械电子设备批发,汽车销售、汽车检测维修及配件销售、物业租赁及服务
22,26,飞亚达A,飞亚达(集团)股份有限公司,广东,深圳市,334580.97,14021.63,5362,1993-06-03,--,,珠宝首饰,钟表,"主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售"
23,27,深圳能源,深圳能源集团股份有限公司,广东,深圳市,1554585.49,74933.82,5845,1993-09-03,--,,火电,电力、燃气、蒸汽、运输,"各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等"
24,28,国药一致,国药集团一致药业股份有限公司,广东,深圳市,4126362.91,105779.19,22480,1993-08-09,--,,医药商业,医药分销、医药零售,药品的研发、生产，中西成药、中药材、生物制品、生化药品、保健品、医疗器械的批发销售和连锁零售。
25,29,深深房A,深圳经济特区房地产(集团)股份有限公司,广东,深圳市,134591.26,18498.85,1912,1993-09-15,--,,房地产开发,房地产、工程施工、租赁、物业管理,商品住宅销售、物业租赁及管理服务、酒店客房服务，以及建筑安装装修服务。
26,30,富奥股份,富奥汽车零部件股份有限公司,吉林,长春市,719326.31,83154.76,6968,1993-09-29,--,,汽车零部件,零部件,汽车零部件的生产与销售
27,31,中粮地产,中粮地产(集团)股份有限公司,广东,深圳市,1404235.59,94533.11,3307,1993-10-08,--,,房地产开发,住宅、商业物业、工业物业,房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业
28,32,深桑达A,深圳市桑达实业股份有限公司,广东,深圳市,172106.38,2637.12,1261,1993-10-28,--,,电子物流,电子信息制造、电子商贸、房地产、电子物流,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。
29,33,新都退,深圳新都酒店股份有限公司,--,--,--,--,242,1994-01-03,--,,--,--,酒店业务及其附属设施业务
30,34,神州数码,神州数码集团股份有限公司,广东,深圳市,6221595.05,72292.47,4486,1994-05-09,--,,贸易,IT分销、自主品牌、云服务,电话机产品的生产与销售及饲料产品的生产及销售及消费电子产品分销和企业IT产品分销
31,35,中国天楹,中国天楹股份有限公司,江苏,南通市,161181.41,22226.92,5737,1994-04-08,--,,垃圾发电,垃圾焚烧发电、环保工程设备、房屋租赁、城市环境服务,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备
32,36,华联控股,华联控股股份有限公司,广东,深圳市,397174.70,134312.51,810,1994-06-17,--,,房地产开发,房产销售、房地产出租、酒店收入,房地产开发及自有物业租赁管理业务
33,37,深南电A,深圳南山热电股份有限公司,广东,深圳市,204576.68,1590.42,519,1994-07-01,--,,火电,能源行业、工程劳务、污泥干化,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务
34,38,深大通,深圳大通实业股份有限公司,广东,深圳市,151036.65,35793.01,244,1994-08-08,--,,网络媒体,供应链管理、广告传媒、房地产,新媒体传媒运营、广告发布
35,39,中集集团,中国国际海运集装箱(集团)股份有限公司,广东,深圳市,7629993.00,250924.20,50689,1994-04-08,--,,金属制品,集装箱、道路运输车辆、能源、化工、液态食品装备、海洋工程、空港设备、物流服务、金融、房地产、重卡,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务
36,40,东旭蓝天,东旭蓝天新能源股份有限公司,广东,深圳市,813102.53,54409.84,2881,1994-08-08,--,,太阳能,房地产、物业、新能源收入、房地产租赁、环保,"光伏电站投资、建设、运营,房地产开发与销售、物业管理等"
37,42,中洲控股,深圳市中洲投资控股股份有限公司,广东,深圳市,865423.38,61536.32,2314,1994-09-21,--,,房地产开发,房地产、服务、酒店、施工,房地产开发、物业租赁经营、酒店经营、建筑施工。
38,43,中航善达,中航善达股份有限公司,广东,深圳市,589349.40,15058.78,19513,1994-09-28,--,,房地产开发,建筑业、房地产、物业、餐饮等服务,物业资产管理业务
39,45,深纺织A,深圳市纺织(集团)股份有限公司,广东,深圳市,147554.57,5277.61,1335,1994-08-15,--,,显示器件,物业及租赁、纺织品、偏光片、贸易,"以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
40,46,泛海控股,泛海控股股份有限公司,北京,北京市,838479.66,289131.87,10523,1994-09-12,--,,房地产开发,房地产销售、商品销售、物业出租、物业管理、装修工程,金融、房地产、战略投资等业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
41,48,*ST康达,深圳市康达尔(集团)股份有限公司,广东,深圳市,294272.78,27676.23,1695,1994-11-01,--,,饲料,饲料生产、自来水供应、房地产开发、交通运输、商业贸易、养殖业、物业管理、房屋及土地租赁、金融、工程施工,交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售
42,49,德赛电池,深圳市德赛电池科技股份有限公司,广东,深圳市,1248597.56,30053.56,10586,1995-03-20,--,,电池,电池及配件,生产制造电源管理系统及各类锂电池
43,50,深天马A,天马微电子股份有限公司,广东,深圳市,1401250.05,80720.43,16541,1995-03-15,--,,显示器件,电子元器件,从事液晶显示器及相关材料、设备、产品的设计、制造、销售
44,55,方大集团,方大集团股份有限公司,广东,深圳市,294747.08,114440.44,2150,1996-04-15,--,,其他建材,金属制造业、轨道交通业、新能源产业、房地产业,生产和经营新型建筑材料。
45,56,皇庭国际,深圳市皇庭国际企业股份有限公司,广东,深圳市,70227.16,17782.37,736,1996-07-08,--,,物业租赁、物业管理,物业租赁、物业管理、贷款、融资租赁、代建,自有商业地产项目的商业运营管理、商场和住宅项目的物业服务管理
46,58,深赛格,深圳赛格股份有限公司,广东,深圳市,198130.76,21955.33,2763,1996-12-26,--,,专业市场,电子市场经营及物业出租服务、贸易业、酒店业、电子商务业务、金融业,电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。
47,59,华锦股份,北方华锦化学工业股份有限公司,辽宁,盘锦市,3371378.06,184527.97,10233,1997-01-30,--,,石油加工,石化板块产品、化肥板块产品,石油化工产品、化学肥料的生产与销售。
48,60,中金岭南,深圳市中金岭南有色金属股份有限公司,广东,深圳市,1896658.84,106699.29,9685,1997-01-23,--,,铅锌,精矿产品、冶炼产品、铝型材、幕墙门窗、电池材料、商品房销售、有色金属贸易业务,有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等
49,61,农产品,深圳市农产品股份有限公司,广东,深圳市,244628.14,1389.21,5036,1997-01-10,--,,专业市场,农产品批发市场经营、农产品加工生产、市场配套服务,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
50,62,深圳华强,深圳华强实业股份有限公司,广东,深圳市,829788.09,41226.95,1832,1997-01-30,--,,专业市场,电子元器件线下分销分部、电子元器件线上交易平台分部、电子元器件及终端产品线下交易平台分部、终端产品线上分销分部,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供网上网下交易服务、产品服务和交易信息服务。
51,63,中兴通讯,中兴通讯股份有限公司,广东,深圳市,10881527.3,456817.2,74773,1997-11-18,--,,通信传输设备,运营商网络、消费者业务、政企业务,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
52,65,北方国际,北方国际合作股份有限公司,北京,北京市,973003.16,49925.34,2001,1998-06-05,--,,专业工程,国际工程承包、国内建筑工程、房地产销售、货物贸易、货运代理、金属包装容器,承包境外工程及境内国际招标工程、房地产开发业务。
53,66,中国长城,中国长城科技集团股份有限公司,广东,深圳市,950683.88,58104.33,13829,1997-06-26,--,,PC、服务器及硬件,高新电子、信息安全整机及解决方案、电源产品、园区及物业服务,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
54,68,华控赛格,深圳华控赛格股份有限公司,广东,深圳市,41292.97,3260.33,555,1997-06-11,--,,环保材料,环保设备及材料、技术咨询规划服务、电子元器件、仓租服务业,节能环保和新材料
55,69,华侨城A,深圳华侨城股份有限公司,广东,深圳市,4234122.47,864324.25,25130,1997-09-10,--,,景区,旅游综合业务、房地产、纸包装,主题公园、酒店服务、房地产开发、纸包装等
56,70,特发信息,深圳市特发信息股份有限公司,广东,深圳市,547307.41,26562.32,4916,2000-05-11,--,,通信传输设备,通信及相关设备制造、物业租赁,光纤、光缆、通信设备的生产和销售
57,78,海王生物,深圳市海王生物工程股份有限公司,广东,深圳市,2493963.77,63637.58,9262,1998-12-18,--,,医药商业,生物制药、医药、保健品、食品,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售
58,88,盐田港,深圳市盐田港股份有限公司,广东,深圳市,34377.89,40435.52,714,1997-07-28,--,,港口,高速公路收费、港口货物装卸运输、仓储及其他服务,投资港口货物装卸与运输业务，码头建设工程管理，收费高速公路、桥梁运营，海关监管仓和其他港口配套仓储经营。
59,89,深圳机场,深圳市机场股份有限公司,广东,深圳市,332080.79,66136.17,5444,1998-04-20,--,,机场,航空主业、航空增值、航空物流、航空广告,航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。
60,90,天健集团,深圳市天健(集团)股份有限公司,广东,深圳市,674959.36,60162.12,5978,1999-07-21,--,,专业工程,建筑施工、房地产销售、物业租赁,提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
61,96,广聚能源,深圳市广聚能源股份有限公司,广东,深圳市,124317.37,15019.4,398,2000-07-24,--,,石油天然气贸易,成品油、液体化工仓储、危化品贸易,从事油品、液化石油气销售、液体化工品仓储及电力投资
62,99,中信海直,中信海洋直升机股份有限公司,广东,深圳市,126976.14,9098.33,1095,2000-07-31,--,,航空,通航运输、通航维修,通用航空飞行服务和维修服务
63,100,TCL集团,TCL集团股份有限公司,广东,惠州市,11157736.2,266439.5,75059,2004-01-30,--,,电视机,多媒体电子、移动通讯、家电,从事研究、开发、生产、销售电子产品及通讯设备、新型光电、液晶显示器件，五金交电，VCD、DVD视盘机，家庭影院系统，电子计算机及配件，电池，数字卫星电视接收机，建筑材料，普通机械。
64,150,宜华健康,宜华健康医疗股份有限公司,广东,汕头市,211617.32,17432.75,18022,2000-08-07,--,,医疗服务,房地产销售、医疗版块、养老版块,健康医疗服务
65,151,中成股份,中成进出口股份有限公司,北京,北京市,222859.8,8736.15,393,2000-09-06,--,,贸易,成套设备出口和工程承包、一般贸易、境外实业经营,成套设备与技术进出口、一般贸易和境外经营。
66,153,丰原药业,安徽丰原药业股份有限公司,安徽,芜湖市,257810.54,6534.81,4571,2000-09-20,--,,化学制剂,药品生产制造、药品零售流通,生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
67,155,川化股份,川化股份有限公司,四川,成都市,650912.32,32489.72,188,2000-09-26,--,,氮肥,化工产品贸易、电力销售、化肥行业及化学制品制造业,从事合成氨、尿素、三聚氰胺、硝酸铵、氮磷复合肥、硫酸、硝酸、硫酸钾、过氧化氢、液体二氧化碳、催化剂等化肥、化工产品的生产和销售，风力发电、光伏发电
68,156,华数传媒,华数传媒控股股份有限公司,浙江,杭州市,320930.79,64127.55,4937,2000-09-06,--,,有线电视,信息传播,杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业
69,157,中联重科,中联重科股份有限公司,湖南,长沙市,2327289.37,133192.37,13461,2000-10-12,--,,工程机械,混凝土机械、起重机械、环境产业、农业机械、金融服务,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
70,158,常山北明,石家庄常山北明科技股份有限公司,河北,石家庄市,1125446.77,35509.5,5054,2000-07-24,--,,棉纺,纺织业、软件和信息技术服务业,纯棉纱布和涤棉纱布的生产销售；自产产品和技术的进出口业务；棉花批发、零售；软件和信息技术服务业
71,159,国际实业,新疆国际实业股份有限公司,新疆,乌鲁木齐市,35520.48,-6630.53,400,2000-09-26,--,,石油天然气贸易,油品销售、房地产销售,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
72,166,申万宏源,申万宏源集团股份有限公司,新疆,乌鲁木齐市,1336778.3,459968.34,13887,2015-01-26,--,,证券,证券及期货经纪业务、证券自营及其他投资业务、证券承销及保荐业务、资产及基金管理业务、信用业务、境外业务,金融投资、股权投资等
73,301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,江苏,苏州市,111202.35,22846.74,573,2000-05-29,--,,火电,电力、热能、营业房出租、房地产开发、广告业务、BT项目管理、平台贸易,房地产开发、营业房出租、热电、石油、天然气。
74,333,美的集团,美的集团股份有限公司,广东,佛山市,24071230.1,1728368.9,101826,2013-09-18,--,,空调、小家电,制造业,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流
75,338,潍柴动力,潍柴动力股份有限公司,山东,潍坊市,15156939.22,680834.25,41402,2007-04-30,--,,汽车零部件,整车及关键零部件、仓库技术及供应链解决方案服务,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
76,400,许继电气,许继电气股份有限公司,河南,许昌市,1033072.11,61377.73,5662,1997-04-18,--,,电气自控设备,特高压、智能电网、新能源、电动汽车充换电、轨道交通、工业智能化,从事电力系统二次设备和一次设备的研制、销售
77,401,冀东水泥,唐山冀东水泥股份有限公司,河北,唐山市,1528971.41,11038.33,14224,1996-06-14,--,,水泥,水泥熟料、各类硅酸盐水泥、与水泥相关的建材,生产和销售水泥、熟料以及石灰石开采和销售
78,402,金融街,金融街控股股份有限公司,北京,北京市,2551934.09,300641.23,3415,1996-06-26,--,,房地产开发,房产开发、物业租赁、物业经营,房地产开发和经营
79,403,ST生化,振兴生化股份有限公司,山西,太原市,68537.81,3830.79,1111,1996-06-28,--,,生物医药,血液制品、膏药、敷料,生产和销售血液制品
80,404,长虹华意,长虹华意压缩机股份有限公司,江西,景德镇市,811411.04,9712.36,6441,1996-06-19,--,,压缩机,通用设备制造,冰箱压缩机及商用压缩机的研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
81,407,胜利股份,山东胜利股份有限公司,山东,济南市,382795.88,6230.25,1481,1996-07-03,--,,燃气,天然气业务、天然气管道制造业、成品油贸易业务,天然气、生物、农化、塑胶等产业组成
82,408,藏格控股,藏格控股股份有限公司,青海,海西蒙古族藏族自治州,317317.85,121437.71,1776,1996-06-28,--,,钾肥,钾肥(氯化钾),钾肥(氯化钾)的生产和销售。
83,409,*ST地矿,山东地矿股份有限公司,山东,济南市,143025.7,-22484.18,1887,1996-06-27,--,,综合,铁矿石采选、黄金采选、生物制药、特种轮胎、房地产、中药材加工零售、油品加工贸易,矿石的开采、加工及矿产品销售
84,410,沈阳机床,沈阳机床股份有限公司,辽宁,沈阳市,418923.69,11775.16,11877,1996-07-18,--,,机床设备,机床、机床配套,金属切削机床制造
85,411,英特集团,浙江英特集团股份有限公司,浙江,杭州市,1890733.1,8349.05,2432,1996-07-16,--,,医药商业,药品、中药材、医疗器械,主要从事药品及医疗器械批发业务
86,413,东旭光电,东旭光电科技股份有限公司,河北,石家庄市,1733636.42,174366.68,7931,1996-09-25,--,,显示器件,光电显示材料、装备及技术服务、新能源汽车、石墨烯产业化应用、建筑安装、电子通讯产品,电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等
87,415,渤海金控,渤海金控投资股份有限公司,新疆,乌鲁木齐市,3593435.1,263034.1,800,1996-07-16,--,,其他非银行金融,融资租赁、融资租赁咨询、经营租赁、集装箱租赁,融资租赁和经营性租赁
88,416,民生控股,民生控股股份有限公司,山东,青岛市,1020.89,2721.38,63,1996-07-19,--,,其他非银行金融,典当、保险经纪、投资与资产管理、商品零售,典当、财富管理及保险经纪
89,417,合肥百货,合肥百货大楼集团股份有限公司,安徽,合肥市,1038990.97,21314.8,9248,1996-08-12,--,,百货,百货业（含家电）、超市业、农产品交易市场、房地产,百货零售业、农产品交易市场两大类业务
90,418,小天鹅A,无锡小天鹅股份有限公司,江苏,无锡市,2138469.91,150641.25,9890,1997-03-28,--,,洗衣机,家用电器,家用洗衣机的研发、生产和销售
91,419,通程控股,长沙通程控股股份有限公司,湖南,长沙市,392362.73,12793.13,3860,1996-08-16,--,,百货,商贸零售、酒店旅游,商业零售业、典当业及旅游酒店业
92,420,吉林化纤,吉林化纤股份有限公司,吉林,吉林市,219782.27,8559.41,4664,1996-08-02,--,,粘胶纤维,化纤、醋酐,从事粘胶纤维的生产、研发和销售
93,421,南京公用,南京公用发展股份有限公司,江苏,南京市,360932.05,14852.12,2871,1996-08-06,--,,燃气,客运业务、燃气业务、房地产业务,客运业务、燃气业务及房地产业务
94,422,*ST宜化,湖北宜化化工股份有限公司,湖北,宜昌市,1195544.15,-509069.52,9871,1996-08-15,--,,氮肥,化肥产品、化工产品,化肥及化工产品的制造和销售。
95,423,东阿阿胶,东阿阿胶股份有限公司,山东,聊城市,737234.03,204435.25,4817,1996-07-29,--,,中药生产,阿胶系列、医药贸易,从事阿胶及阿胶系列产品的研发、生产和销售业务
96,425,徐工机械,徐工集团工程机械股份有限公司,江苏,徐州市,2913110.46,102061.77,13620,1996-08-28,--,,工程机械,工程机械,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
97,426,兴业矿业,内蒙古兴业矿业股份有限公司,内蒙古,赤峰市,211143.91,56498.53,315,1996-08-28,--,,铅锌,锌精粉、铁精粉、铅精粉、电解铜、铜精粉、粗铅、铅锭,有色金属采选及冶炼
98,428,华天酒店,华天酒店集团股份有限公司,湖南,长沙市,106309.44,10896.21,5197,1996-08-08,--,,酒店,酒店业、房地产业、酒店资产运营,住宿、餐饮。
99,429,粤高速A,广东省高速公路发展股份有限公司,广东,广州市,308905.54,150992.24,2191,1998-02-20,--,,高速公路,公路运输,广佛高速公路和佛开高速公路的收费和养护工作，投资科技产业及提供相关咨询
100,430,张家界,张家界旅游集团股份有限公司,湖南,张家界市,54964.96,6736.22,1170,1996-08-29,--,,景区,旅行社服务、环保客运服务、观光电车、宝峰湖景区、周洛景区、杨家界索道、张国际酒店、广告代理、房屋租赁,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
101,488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,山东,潍坊市,2985174.38,376932.55,13579,2000-11-20,--,,造纸,机制纸、融资租赁、电力及热力、建筑材料、化工用品、酒店,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
102,498,山东路桥,山东高速路桥集团股份有限公司,山东,济南市,1238472.98,57605.68,8445,1997-06-09,--,,路桥建设,建筑、租赁、商品混凝土加工、设计咨询,路桥工程施工与养护施工
103,501,鄂武商A,武汉武商集团股份有限公司,湖北,武汉市,1812209.87,124133.98,11482,1992-11-20,--,,百货,商品销售,商业零售及批发业务
104,502,绿景控股,绿景控股股份有限公司,广东,广州市,2206.13,-8326.08,192,1992-11-23,--,,房地产开发,房地产业、医疗行业,从事房地产开发及物业管理业务
105,503,国新健康,国新健康保障服务集团股份有限公司,海南,海口市,18399.37,1667.49,1167,1992-11-30,--,,电子商务B2B,大健康服务,医药电子商务、医疗福利管理等
106,504,南华生物,南华生物医药股份有限公司,湖南,长沙市,6739.3,-3711.94,143,1992-12-08,--,,节能环保,节能技术服务行业、生物医药行业、传媒行业,媒体业务；生物资源、干细胞和免疫细胞储存，生命科学技术、组织工程技术及其他生物技术研发业务
107,505,京粮控股,海南京粮控股股份有限公司,海南,海口市,791763.9,12960.32,2968,1992-12-21,--,,房地产开发,油脂、粮食贸易、食品加工、房地产,植物油加工及食品制造。
108,506,中润资源,中润资源投资股份有限公司,山东,济南市,76908.22,-44913.38,1650,1993-03-12,--,,黄金,房地产、黄金,矿业投资与房地产开发
109,507,珠海港,珠海港股份有限公司,广东,珠海市,186063.64,14060.8,2102,1993-03-26,--,,港口,港口物流、综合能源、港城建设,港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。
110,509,华塑控股,华塑控股股份有限公司,四川,南充市,224089.03,1250.6,70,1993-05-07,--,,其他建材,塑料建材、园林,建材加工，门窗安装，园林工程
111,510,金路集团,四川金路集团股份有限公司,四川,德阳市,172814.87,6752.36,2537,1993-05-07,--,,氯碱,PVC树脂和烧碱,从事PCV树脂和烧碱的生产与销售
112,511,烯碳退,银基烯碳新材料集团股份有限公司,辽宁,沈阳市,241228.91,7714.96,179,1993-05-18,--,,非金属新材料,贸易类、房地产、生产类、技术平台开发类,"石墨类产品、石墨烯及纳米碳、碳素类产品、耐火材料、活性碳类产品、烯碳新材料、稀土碳基复合材料、矿产品、金属和非金属材料销售(不含危险化学品),烯碳新材料技术开发和技术转让,城市基础设施投资等。"
113,513,丽珠集团,丽珠医药集团股份有限公司,广东,珠海市,853096.86,442868.46,7219,1993-10-28,--,,化学制剂,制剂、原料药、中间体及诊断试剂,研究、开发、生产和销售医药产品。
114,514,渝开发,重庆渝开发股份有限公司,重庆,重庆市,104085.28,8079.67,701,1993-07-12,--,,房地产开发,住宅销售、商业销售、物业管理、房屋租赁、会议展览、石黄隧道经营权,主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。
115,516,国际医学,西安国际医学投资股份有限公司,陕西,西安市,405950.08,19839.08,3724,1993-08-09,--,,百货,零售业、医疗业,大健康医疗服务和现代医学技术转化应用
116,517,荣安地产,荣安地产股份有限公司,浙江,宁波市,426421.51,54175.58,1182,1993-08-06,--,,房地产开发,房地产销售、物业管理、房屋租赁,从事房地产开发、经营；物业服务；建设工程承包等
117,518,四环生物,江苏四环生物股份有限公司,江苏,无锡市,34605.46,728.84,280,1993-09-08,--,,生物医药,药品、保健品、花卉、林木（不含种子木苗）,药品、保健品的研发、生产和销售
118,519,中兵红箭,中兵红箭股份有限公司,湖南,湘潭市,477536.66,12021.1,8838,1993-10-08,--,,超硬材料,超硬材料及其制品、特种装备、改装汽车、汽车零部件,超硬材料及其制品和内燃机配件的研发、生产、销售
119,520,长航凤凰,长航凤凰股份有限公司,湖北,武汉市,83243.2,5081.98,460,1993-10-25,--,,航运,干散货运输、船员派遣服务、资产出租,从事干货运输
120,521,长虹美菱,长虹美菱股份有限公司,安徽,合肥市,1679743.68,3247.32,17179,1993-10-18,--,,冰箱、空调,家用电器,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
